"NUMERO_OS";"DATA_ABERTURA_OS";"DATA_ENCERRAMENTO_OS";"MEIO_SOLICITACAO";"CIDADE";"BAIRRO";"QUANTIDADE_REITERACAO";"DIAMETRO_REDE"
41398558;"14/07/2017";"14/07/2017";6;IGARASSU;UMBURA;0;60
41398915;"14/07/2017";"14/07/2017";6;IGARASSU;UMBURA;0;60
41079937;"04/05/2017";"04/05/2017";6;IGARASSU;TABATINGA;0;20
41921119;"25/10/2017";"25/10/2017";1;IGARASSU;CORTEGADA;0;100
40524286;"06/01/2017";"09/01/2017";1;IGARASSU;SARAMANDAIA;0;5
40919195;"25/03/2017";"27/03/2017";6;IGARASSU;SARAMANDAIA;0;20
41906787;"24/10/2017";"24/10/2017";4;IGARASSU;NOVA CRUZ;0;60
41916983;"24/10/2017";"24/10/2017";4;IGARASSU;NOVA CRUZ;0;60
41917126;"24/10/2017";"24/10/2017";4;IGARASSU;NOVA CRUZ;0;25
41905822;"24/10/2017";"24/10/2017";4;IGARASSU;NOVA CRUZ;0;75
41906524;"24/10/2017";"24/10/2017";4;IGARASSU;NOVA CRUZ;0;20
41953185;"27/10/2017";"27/10/2017";4;IGARASSU;NOVA CRUZ;0;60
42028315;"10/11/2017";"10/11/2017";4;IGARASSU;NOVA CRUZ;0;60
41439213;"24/07/2017";"25/07/2017";4;IGARASSU;NOVA CRUZ;0;60
41079017;"04/05/2017";"04/05/2017";6;IGARASSU;CRUZ DE REBOUCAS;0;20
41032883;"26/04/2017";"26/04/2017";6;IGARASSU;CRUZ DE REBOUCAS;0;32
41804032;"02/10/2017";"02/10/2017";4;IGARASSU;CRUZ DE REBOUCAS;0;20
40534895;"09/01/2017";"10/01/2017";4;IGARASSU;CRUZ DE REBOUCAS;0;2
41802603;"02/10/2017";"02/10/2017";4;IGARASSU;CRUZ DE REBOUCAS;0;75
41801605;"02/10/2017";"02/10/2017";4;IGARASSU;CRUZ DE REBOUCAS;0;75
42056221;"17/11/2017";"17/11/2017";6;IGARASSU;CRUZ DE REBOUCAS;0;60
42055479;"17/11/2017";"17/11/2017";6;IGARASSU;CRUZ DE REBOUCAS;0;60
41368008;"07/07/2017";"07/07/2017";6;IGARASSU;CRUZ DE REBOUCAS;0;20
40989265;"13/04/2017";"13/04/2017";6;IGARASSU;CRUZ DE REBOUCAS;0;25
40890134;"20/03/2017";"20/03/2017";1;IGARASSU;CRUZ DE REBOUCAS;0;3
42057968;"17/11/2017";"17/11/2017";6;IGARASSU;CRUZ DE REBOUCAS;0;20
40900905;"23/03/2017";"23/03/2017";6;IGARASSU;CRUZ DE REBOUCAS;0;20
41477893;"26/07/2017";"26/07/2017";6;IGARASSU;CRUZ DE REBOUCAS;0;20
